,x1,y1,x2,y2
0,826,32,840,1
0,570,47,605,52
0,29,52,71,51
0,629,443,658,389
0,777,133,850,146
0,780,202,805,200
0,3,124,3,45
0,617,4,661,3
0,767,177,816,80
0,117,58,134,10
0,483,406,539,406
0,15,166,15,85
0,409,61,447,55
0,749,210,770,210
0,0,88,88,73
0,656,45,738,45
0,622,459,652,410
0,779,200,850,192
0,257,29,283,28
0,230,23,274,24
0,31,216,108,214
0,488,33,512,34
0,484,46,516,45
0,715,10,737,9
0,584,219,654,213
0,0,49,84,45
0,63,37,117,41
0,354,17,378,17
0,723,125,764,132
0,67,79,87,75
0,741,66,776,68
0,17,237,112,231
0,742,76,851,83
0,28,1,107,12
0,716,78,792,84
0,778,28,802,27
0,740,55,821,55
0,257,18,281,18
0,194,311,227,311
0,19,82,106,67
0,2,0,46,8
0,724,119,848,119
0,811,211,846,211
0,491,43,512,42
0,43,202,73,203
0,802,3,826,1
0,772,190,852,185
0,6,101,78,87
0,3,14,56,13
0,6,134,42,132
0,786,13,818,11
0,813,242,853,245
0,12,55,56,52
0,34,288,69,185
0,500,3,537,3
0,670,30,723,28
0,112,58,148,57
0,816,220,851,220
0,47,212,128,207
0,731,50,808,51
0,122,31,167,39
0,287,28,316,29
0,590,198,650,199
0,22,128,58,127
0,778,8,850,5
0,765,33,802,31
0,7,78,52,73
0,741,202,762,200
0,744,153,853,178
0,6,88,63,81
0,84,232,84,118
0,681,55,715,56
0,3,16,86,19
0,666,46,701,47
0,613,45,637,45
0,70,138,108,136
0,774,1,818,0
0,90,37,129,40
0,754,22,798,17
0,797,164,853,162
0,827,26,850,24
0,481,24,512,21
0,487,29,514,26
0,388,310,388,239
0,433,22,501,18
0,744,204,768,204
0,207,14,231,16
0,625,41,667,40
0,768,183,844,177
0,370,54,398,54
0,1,32,35,34
0,0,151,24,153
0,171,385,201,290
0,762,175,849,173
0,659,41,740,42
0,349,223,412,222
0,226,14,249,16
0,702,5,723,4
0,776,134,850,147
0,2,3,29,7
0,234,43,255,44
0,720,66,773,73
0,338,22,361,21
0,773,191,822,191
0,712,91,850,116
0,0,73,29,70
0,57,1,79,85
0,15,287,42,236
0,469,41,513,38
0,238,54,276,60
0,547,220,613,222
0,612,196,650,197
0,95,226,95,200
0,339,59,369,65
0,0,7,23,11
0,638,421,663,375
0,101,198,123,198
0,745,62,774,63
0,469,48,509,47
0,21,102,71,96
0,718,98,754,97
0,727,110,792,118
0,109,31,147,36
0,715,12,744,9
0,386,186,413,186
0,239,18,276,23
0,285,307,398,306
0,717,18,741,17
0,80,123,120,231
0,53,47,165,41
0,851,275,851,154
0,590,206,612,208
0,45,15,79,18
0,1,68,97,62
0,615,40,640,38
0,742,90,834,84
0,186,44,219,41
0,452,22,496,19
0,727,109,759,157
0,262,59,285,56
0,0,164,29,166
0,745,144,844,148
0,711,14,742,12
0,525,402,551,402
0,88,185,88,111
0,719,68,801,81
0,797,50,849,51
0,498,222,553,223
0,385,29,406,29
0,740,147,785,157
0,513,49,536,47
0,770,93,833,98
0,89,110,96,187
0,787,188,849,89
0,818,198,849,197
0,826,3,852,1
0,761,111,804,105
0,195,409,223,409
0,240,54,286,44
0,421,114,442,113
0,18,80,48,76
0,20,234,45,234
0,12,85,69,115
0,11,248,53,245
0,718,76,748,78
0,326,14,380,16
0,797,211,852,292
0,69,136,87,182
0,779,201,805,202
0,57,230,94,217
0,770,96,793,98
0,527,15,560,14
0,49,208,81,209
0,43,205,114,207
0,729,64,765,66
0,709,20,744,19
0,260,51,284,51
0,46,71,70,70
0,500,57,528,54
0,589,202,639,208
0,745,224,784,226
0,79,54,85,74
0,67,196,103,119
0,676,11,698,9
0,494,55,518,59
0,44,7,91,10
0,45,274,66,184
0,612,192,638,192
0,568,113,687,406
0,611,213,632,217
0,62,58,100,54
0,716,96,761,94
0,405,409,436,409
0,753,123,817,123
0,51,228,60,204
0,774,138,809,144
0,827,175,827,126
0,749,211,770,211
0,769,181,819,178
0,493,50,517,48
0,89,155,126,204
0,188,49,216,49
0,33,163,33,113
0,39,289,39,237
0,698,73,759,70
0,232,310,263,310
0,574,20,595,18
0,0,91,51,91
0,783,207,853,205
0,770,81,792,80
0,258,184,310,185
0,796,161,852,154
0,762,114,849,125
0,812,69,832,70
0,486,32,540,27
0,13,240,52,238
0,742,2,771,0
0,601,15,636,12
0,139,49,165,46
0,353,14,393,16
